,created_at,content,text,topic,gamma
1,22:21.6,"Unlawful Nationwide Injunctions by Radical Left Judges could very well lead to the destruction of our Country! These people are Lunatics, who do not care, even a little bit, about the repercussions from their very dangerous and incorrect Decisions and Rulings. Lawyers endlessly search the United States for these Judges, and file lawsuits as quickly as they find them. It is then the obligation of Law abiding Agencies of Government to have these ""Orders""overturned. The danger is unparalleled! These Judges want to assume the Powers of the Presidency, without having to attain 80 Million Votes. They want all of the advantages with none of the risks. Again, a President has to be allowed to act quickly and decisively about such matters as returning murderers, drug lords, rapists, and other such type criminals back to their Homeland, or to other locations that will allow our Country to be SAFE. It is our goal to MAKE AMERICA GREAT AGAIN, and such a high aspiration can never be done if Radical and Highly Partisan Judges are allowed to stand in the way of JUSTICE. STOP NATIONWIDE INJUNCTIONS NOW, BEFORE IT IS TOO LATE. If Justice Roberts and the United States Supreme Court do not fix this toxic and unprecedented situation IMMEDIATELY, our Country is in very serious trouble!","Unlawful Nationwide Injunctions by Radical Left Judges could very well lead to the destruction of our Country! These people are Lunatics, who do not care, even a little bit, about the repercussions from their very dangerous and incorrect Decisions and Rulings. Lawyers endlessly search the United States for these Judges, and file lawsuits as quickly as they find them. It is then the obligation of Law abiding Agencies of Government to have these ""Orders""overturned. The danger is unparalleled! These Judges want to assume the Powers of the Presidency, without having to attain 80 Million Votes. They want all of the advantages with none of the risks. Again, a President has to be allowed to act quickly and decisively about such matters as returning murderers, drug lords, rapists, and other such type criminals back to their Homeland, or to other locations that will allow our Country to be SAFE. It is our goal to MAKE AMERICA GREAT AGAIN, and such a high aspiration can never be done if Radical and Highly Partisan Judges are allowed to stand in the way of JUSTICE. STOP NATIONWIDE INJUNCTIONS NOW, BEFORE IT IS TOO LATE. If Justice Roberts and the United States Supreme Court do not fix this toxic and unprecedented situation IMMEDIATELY, our Country is in very serious trouble!",1,0.997400515
2,49:56.6,“TRUMP WAS RIGHT ABOUT EVERYTHING”,“TRUMP WAS RIGHT ABOUT EVERYTHING”,1,0.915010252
3,02:45.6,"We must all pray for Charlie Kirk, who has been shot. A great guy from top to bottom. GOD BLESS HIM!","We must all pray for Charlie Kirk, who has been shot. A great guy from top to bottom. GOD BLESS HIM!",1,0.975111684
4,36:48.5,"Governor Gavin Newscum should immediately go to Northern California and open up the water main, and let the water flow into his dry, starving, burning State, instead of having it go out into the Pacific Ocean. It ought to be done right now, NO MORE EXCUSES FROM THIS INCOMPETENT GOVERNOR. IT’S ALREADY FAR TOO LATE!","Governor Gavin Newscum should immediately go to Northern California and open up the water main, and let the water flow into his dry, starving, burning State, instead of having it go out into the Pacific Ocean. It ought to be done right now, NO MORE EXCUSES FROM THIS INCOMPETENT GOVERNOR. IT’S ALREADY FAR TOO LATE!",1,0.990394736
5,10:13.9,"For anyone who is interested, I also told Governor Justin Trudeau of Canada that he largely caused the problems we have with them because of his Weak Border Policies, which allowed tremendous amounts of Fentanyl, and Illegal Aliens, to pour into the United States. These Policies are responsible for the death of many people!","For anyone who is interested, I also told Governor Justin Trudeau of Canada that he largely caused the problems we have with them because of his Weak Border Policies, which allowed tremendous amounts of Fentanyl, and Illegal Aliens, to pour into the United States. These Policies are responsible for the death of many people!",1,0.438524681
6,40:15.1,"On Monday a Press Conference will be held at the White House which will, essentially, stop violent crime in Washington, D.C. It has become one of the most dangerous cities anywhere in the World. It will soon be one of the safest!!! Thank you for your attention to this matter. President DJT","On Monday a Press Conference will be held at the White House which will, essentially, stop violent crime in Washington, D.C. It has become one of the most dangerous cities anywhere in the World. It will soon be one of the safest!!! Thank you for your attention to this matter. President DJT",1,0.823474827
7,24:24.3,"Yesterday's horrific attack in Boulder, Colorado, WILL NOT BE TOLERATED in the United States of America. He came in through Biden's ridiculous Open Border Policy, which has hurt our Country so badly. He must go out under ""TRUMP""Policy. Acts of Terrorism will be prosecuted to the fullest extent of the Law. This is yet another example of why we must keep our Borders SECURE, and deport Illegal, Anti-American Radicals from our Homeland. My heart goes out to the victims of this terrible tragedy, and the Great People of Boulder, Colorado!","Yesterday's horrific attack in Boulder, Colorado, WILL NOT BE TOLERATED in the United States of America. He came in through Biden's ridiculous Open Border Policy, which has hurt our Country so badly. He must go out under ""TRUMP""Policy. Acts of Terrorism will be prosecuted to the fullest extent of the Law. This is yet another example of why we must keep our Borders SECURE, and deport Illegal, Anti-American Radicals from our Homeland. My heart goes out to the victims of this terrible tragedy, and the Great People of Boulder, Colorado!",1,0.857465608
8,03:52.0,"The Fake News has been saying for 3 days that I suffered a ""major defeat""by allowing President Vladimir Putin of Russia to have a major Summit in the United States. Actually, he would have loved doing the meeting anywhere else but the U.S., and the Fake News knows this. It was a major point of contention! If we had the Summit elsewhere, the Democrat run and controlled media would have said what a terrible thing THAT was. These people are sick! They even want CRIME IN D.C., and other BLUE Cities throughout our Country, but don't worry, I won't let that happen. Just like our now secure Southern Border (ZERO illegals in last 3 months!), our cities will be Secure and Safe, and D.C. will lead the way!","The Fake News has been saying for 3 days that I suffered a ""major defeat""by allowing President Vladimir Putin of Russia to have a major Summit in the United States. Actually, he would have loved doing the meeting anywhere else but the U.S., and the Fake News knows this. It was a major point of contention! If we had the Summit elsewhere, the Democrat run and controlled media would have said what a terrible thing THAT was. These people are sick! They even want CRIME IN D.C., and other BLUE Cities throughout our Country, but don't worry, I won't let that happen. Just like our now secure Southern Border (ZERO illegals in last 3 months!), our cities will be Secure and Safe, and D.C. will lead the way!",1,0.607898131
9,43:59.4,"Every Legal Scholar and Pundit, including the highly respected, and sadly recently passed, David Rivkin, as well as Jonathan Turley, Elie Honig, Andy McCarthy, Alan Dershowitz, Gregg Jarrett, Elizabeth Price Foley, Katie and Andy Cherkasky, Paul Ingrassia, and many others, have unequivocally stated that the Manhattan D.A.’s Witch Hunt is a nonexistent case, which is not only barred by the Statute of Limitations but, on the merits, should never have been brought. This illegitimate political attack is nothing but a Rigged Charade. “Acting” Justice Merchan, who is a radical partisan, just issued another order that is knowingly unlawful, goes against our Constitution and, if allowed to stand, would be the end of the Presidency as we know it. Merchan has so little respect for the Constitution that he is keeping in place an illegal gag order on me, your President and President Elect, just so I cannot expose his and his family’s disqualifying and illegal conflicts. I am the only Political Opponent in American History not allowed to defend myself - A despicable First Amendment Violation! …","Every Legal Scholar and Pundit, including the highly respected, and sadly recently passed, David Rivkin, as well as Jonathan Turley, Elie Honig, Andy McCarthy, Alan Dershowitz, Gregg Jarrett, Elizabeth Price Foley, Katie and Andy Cherkasky, Paul Ingrassia, and many others, have unequivocally stated that the Manhattan D.A.’s Witch Hunt is a nonexistent case, which is not only barred by the Statute of Limitations but, on the merits, should never have been brought. This illegitimate political attack is nothing but a Rigged Charade. “Acting” Justice Merchan, who is a radical partisan, just issued another order that is knowingly unlawful, goes against our Constitution and, if allowed to stand, would be the end of the Presidency as we know it. Merchan has so little respect for the Constitution that he is keeping in place an illegal gag order on me, your President and President Elect, just so I cannot expose his and his family’s disqualifying and illegal conflicts. I am the only Political Opponent in American History not allowed to defend myself - A despicable First Amendment Violation! …",1,0.567439026
10,23:26.0,"RELEASE THE WATER, NEWSOM. WHAT IS WRONG WITH YOU? DJT","RELEASE THE WATER, NEWSOM. WHAT IS WRONG WITH YOU? DJT",1,0.947004334
